iter	MultiClass
0	0.9654817097
1	0.7665489498
2	0.6375503424
3	0.5592692989
4	0.5077344444
5	0.4626213916
6	0.4324866466
7	0.4126833688
8	0.3915120474
9	0.3768666056
10	0.3630321263
11	0.3518049552
12	0.3434167034
13	0.3326327919
14	0.320646496
15	0.3125089482
16	0.3039694556
17	0.2967937083
18	0.2903052608
19	0.2852052655
20	0.2760127377
21	0.2680095817
22	0.2613800731
23	0.2550307531
24	0.2502150874
25	0.2467674995
26	0.2420064988
27	0.2365717155
28	0.2310316261
29	0.2275983169
30	0.2229450206
31	0.2179465695
